CASEID,age,sex,education,weekly_working_hours,salary
2336,30-39,Male,University degree or certificate,45,0
2337,30-39,Female,Non-university postsecondary certificate or diploma,40,43000
2338,60-69,Female,Graduated high school or partial postsecondary education,30,10000
2339,60-69,Female,Non-university postsecondary certificate or diploma,47.5,42000
2340,30-39,Male,University degree or certificate,65,97500
2341,30-39,Male,University degree or certificate,12,7500
2341,20-29,Female,University degree or certificate,40,85000
2342,60-69,Female,Graduated high school or partial postsecondary education,40,55000
2342,60-69,Male,Graduated high school or partial postsecondary education,40,22000
2343,50-59,Female,Graduated high school or partial postsecondary education,40,40000
2343,50-59,Male,Graduated high school or partial postsecondary education,40,80000
2343,20-29,Male,Graduated high school or partial postsecondary education,40,44000
2345,40-49,Female,University degree or certificate,40,105000
2345,50-59,Male,Non-university postsecondary certificate or diploma,40,220000
2346,50-59,Male,Non-university postsecondary certificate or diploma,40,110000
2346,20-29,Female,Non-university postsecondary certificate or diploma,25,4100
2346,20-29,Male,Non-university postsecondary certificate or diploma,40,77500
2347,20-29,Female,Non-university postsecondary certificate or diploma,37.5,15500
2347,30-39,Male,Non-university postsecondary certificate or diploma,37.5,65000
2348,50-59,Male,Graduated high school or partial postsecondary education,40,120000
2350,30-39,Female,Non-university postsecondary certificate or diploma,37.5,62500
2350,30-39,Male,Non-university postsecondary certificate or diploma,30,25000
2352,50-59,Female,Graduated high school or partial postsecondary education,21,0
2353,50-59,Male,Non-university postsecondary certificate or diploma,37.5,100000
2353,50-59,Female,Non-university postsecondary certificate or diploma,22.5,31000
2354,30-39,Male,Non-university postsecondary certificate or diploma,40,0
2354,30-39,Female,Graduated high school or partial postsecondary education,36,40000
2355,30-39,Male,University degree or certificate,44,87500
2355,30-39,Female,University degree or certificate,30,17000
2356,70+,Male,Less than high school graduation,50,16000
2357,60-69,Male,Graduated high school or partial postsecondary education,15,0
2358,30-39,Male,Non-university postsecondary certificate or diploma,40,7250
2358,30-39,Female,Non-university postsecondary certificate or diploma,35,39000
2359,20-29,Male,Non-university postsecondary certificate or diploma,45,39000
2361,40-49,Male,Non-university postsecondary certificate or diploma,40,43000
2361,30-39,Female,Non-university postsecondary certificate or diploma,37.5,43000
2362,30-39,Female,Non-university postsecondary certificate or diploma,40,47500
2362,30-39,Male,University degree or certificate,40,87500
2364,20-29,Female,Non-university postsecondary certificate or diploma,40,20000
2365,70+,Male,University degree or certificate,10,1850
2365,30-39,Male,Non-university postsecondary certificate or diploma,16,22000
2366,40-49,Male,Non-university postsecondary certificate or diploma,50,67500
2366,30-39,Female,Graduated high school or partial postsecondary education,50,0
2367,60-69,Female,Non-university postsecondary certificate or diploma,36,10500
2369,40-49,Male,Non-university postsecondary certificate or diploma,40,72500
2369,30-39,Female,Non-university postsecondary certificate or diploma,36,77500
2370,40-49,Male,Graduated high school or partial postsecondary education,60,85000
2371,20-29,Male,Graduated high school or partial postsecondary education,42,42000
2371,20-29,Female,Graduated high school or partial postsecondary education,28,0
2376,50-59,Female,Graduated high school or partial postsecondary education,40,7500
